23.6   26.0   151.6  1.2
26.0   28.7   152.6  0.9  
28.7   31.7   151.4  0.8  
31.7   35.0   151.3  1.8
35.0   38.8   149.6  0.7  
38.8   43.1   150.2  0.7  
43.1   48.0   148.6  0.7
48.0   53.7   146.5  0.7
53.7   60.4   145.5  0.7
60.4   68.2   143.2  0.7
68.2   77.4   141.9  0.8
77.4   88.1   140.8  0.8
88.1   101    139.0  0.9
101   116     139.0  0.9  
116   133     139.4  1.0
133   154     139.5  1.2   
154   180     140.8  1.3   
180   210     142.3  1.5   
210   246     140.9  1.7   
246   291     140.9  1.9   
291   346     140.4  2.2   
346   415     139.4  2.6   
415   503     134.0  3.1   
503   615     127.4  4.1  
615   772     115.8  4.8
772   1000    114.4  6.5
